2026/08/14 00:36:11 web-api listening on :8691
[GIN] 2026/08/14 - 00:36:11 | 200 |       85.25µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/08/14 - 00:36:12 | 200 |     150.208µs |       127.0.0.1 | GET      "/api/bizline/lines"
[GIN] 2026/08/14 - 00:36:12 | 200 |       33.75µs |       127.0.0.1 | GET      "/api/bizline/lines"
[GIN] 2026/08/14 - 00:36:21 | 200 |   87.087542ms |       127.0.0.1 | GET      "/api/bizline/lines"
[GIN] 2026/08/14 - 00:36:21 | 200 |    87.37075ms |       127.0.0.1 | GET      "/api/delivery/programs?bizLine=whatsapp"
[GIN] 2026/08/14 - 00:36:22 | 200 |   84.604208ms |       127.0.0.1 | GET      "/api/delivery/programs?bizLine=xianglong"
[GIN] 2026/08/14 - 00:36:22 | 200 |  113.160042ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:22 | 200 |   182.06825ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:22 | 200 |  104.945041ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:22 | 200 |    227.7585ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:22 | 200 |    242.9395ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:22 | 200 |  248.047167ms |       127.0.0.1 | GET      "/api/delivery/requirements?pageIndex=1&pageSize=200&programId=2&scope=mine"
[GIN] 2026/08/14 - 00:36:22 | 200 |    122.5805ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:22 | 200 |  408.831834ms |       127.0.0.1 | GET      "/api/delivery/board?programId=2&groupBy=status&phase=requirement"
[GIN] 2026/08/14 - 00:36:22 | 200 |  168.735625ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:22 | 200 |  159.454792ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:22 | 200 |   92.412167ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:22 | 200 |   93.098333ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:23 | 200 |  137.706292ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:23 | 200 |  153.277167ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:23 | 200 |  160.574583ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:28 | 200 |   93.757667ms |       127.0.0.1 | POST     "/api/auth/login"
[GIN] 2026/08/14 - 00:36:33 | 200 |   93.422958ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:33 | 200 |   105.69475ms |       127.0.0.1 | GET      "/api/auth/members"
[GIN] 2026/08/14 - 00:36:33 | 200 |   95.760167ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:33 | 200 |  118.857541ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:33 | 200 |  152.148666ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:33 | 200 |  154.934416ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:39 | 200 |  201.345291ms |       127.0.0.1 | POST     "/api/delivery/requirement/save"
[GIN] 2026/08/14 - 00:36:39 | 200 |  158.524917ms |       127.0.0.1 | GET      "/api/delivery/requirements?pageIndex=1&pageSize=200&programId=2&scope=mine"
[GIN] 2026/08/14 - 00:36:43 | 200 |  106.687625ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:43 | 200 |  129.105667ms |       127.0.0.1 | GET      "/api/auth/members"
[GIN] 2026/08/14 - 00:36:43 | 200 |   96.634917ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:43 | 200 |  108.121917ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:43 | 200 |  133.520666ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:43 | 200 |  153.336625ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:55 | 200 |   88.340834ms |       127.0.0.1 | GET      "/api/delivery/programs?bizLine=xianglong"
[GIN] 2026/08/14 - 00:36:55 | 200 |   116.84325ms |       127.0.0.1 | GET      "/api/delivery/programs"
